Xpath;Nome;Definição;Tipo de Dado;Tamanho;Mandatoriedade;Obrigatório por Regulação;Formato;Domínio;Mínimo de Ocorrências;Máximo de Ocorrências;Restrições;Nulidade;Tipo de Dado Json;Exemplo;Tamanho mínimo
/data;data;;Lista;;Obrigatório;Opcional;;;0;N;"";Não permitido;array;;
/data/expirationDateTime;expirationDateTime;"Data e hora de expiração da permissão. Reflete a data limite de validade do consentimento. Uma string com data e hora conforme especificação RFC-3339, sempre com a utilização de timezone UTC(UTC time format), utilizado apenas para consulta de alterações históricas de extensão do consentimento.

[Restrição] De preenchimento obrigatório nos casos em que houver validade determinada.

Em casos de consentimento com prazo indeterminada o campo não deve ser preenchido.
";Date Hora;20;Condicional;Opcional;(^(\d{4})-(1[0-2]|0?[1-9])-(3[01]|[12][0-9]|0?[1-9])T(?:[01]\d|2[0123]):(?:[012345]\d):(?:[012345]\d)Z$);;0;1;" De preenchimento obrigatório nos casos em que houver validade determinada.

Em casos de consentimento com prazo indeterminada o campo não deve ser preenchido.
";Não permitido;string;2021-05-21T08:30:00Z;
/data/loggedUser;loggedUser;"Usuário (pessoa natural) que encontra-se logado na instituição receptora e que iniciará o processo de consentimento para compartilhamento de dados.  
Deve ser armazenado como novo usuário logado responsável pela renovação do consentimento atual.
";Objeto;;Obrigatório;Opcional;;;1;1;"";Não permitido;object;;
/data/loggedUser/document;document;;Objeto;;Obrigatório;Opcional;;;1;1;"";Não permitido;object;;
/data/loggedUser/document/identification;identification;Número do documento de identificação oficial do usuário.;Texto;11;Obrigatório;Opcional;^\d{11}$;;1;1;"";Não permitido;string;11111111111;
/data/loggedUser/document/rel;rel;Tipo do documento de identificação oficial do usuário.;Texto;3;Obrigatório;Opcional;^[A-Z]{3}$;;1;1;"";Não permitido;string;CPF;
/data/requestDateTime;requestDateTime;Data e hora em que o recurso foi criado. Uma string com data e hora conforme especificação RFC-3339, sempre com a utilização de timezone UTC(UTC time format).;Date Hora;20;Obrigatório;Opcional;;;1;1;"";Não permitido;string;2021-05-21T08:30:00Z;
/data/previousExpirationDateTime;previousExpirationDateTime;"Data e hora de expiração anteriores a renovação. Reflete a data limite anterior de validade do consentimento. Uma string com data e hora conforme especificação RFC-3339, sempre com a utilização de timezone UTC (UTC time format).

[Restrição] De preenchimento obrigatório nos casos em que houver validade determinada. Em casos de consentimento com prazo indeterminado, ou renovações feitas com a v2.2.0 em que não exista persistência dessa informação, o campo não deve ser preenchido.
";Date Hora;20;Condicional;Opcional;(^(\d{4})-(1[0-2]|0?[1-9])-(3[01]|[12][0-9]|0?[1-9])T(?:[01]\d|2[0123]):(?:[012345]\d):(?:[012345]\d)Z$);;0;1;" De preenchimento obrigatório nos casos em que houver validade determinada. Em casos de consentimento com prazo indeterminado, ou renovações feitas com a v2.2.0 em que não exista persistência dessa informação, o campo não deve ser preenchido.
";Não permitido;string;2023-10-18T18:30:00Z;
/data/xFapiCustomerIpAddress;xFapiCustomerIpAddress;"O endereço IP do usuário logado com o receptor que solicitou a renovação sem redirecionamento.

[Restrição] De preenchimento obrigatório a partir da v3.0.0. Opcional para renovações feitas com a v2.2.0 quando não existir persistência dessa informação.
";Texto;100;Condicional;Opcional;^(?!\s)[\w\W\s]*[^\s]$;;0;1;" De preenchimento obrigatório a partir da v3.0.0. Opcional para renovações feitas com a v2.2.0 quando não existir persistência dessa informação.
";Não permitido;string;172.217.22.14;1
/data/xCustomerUserAgent;xCustomerUserAgent;"Indica o user-agent que o usuário utilizou quando solicitou a renovação sem redirecionamento.

[Restrição] De preenchimento obrigatório a partir da v3.0.0. Opcional para renovações feitas com a v2.2.0 quando não existir persistência dessa informação.
";Texto;100;Condicional;Opcional;^(?!\s)[\w\W\s]*[^\s]$;;0;1;" De preenchimento obrigatório a partir da v3.0.0. Opcional para renovações feitas com a v2.2.0 quando não existir persistência dessa informação.
";Não permitido;string;"Mozilla/5.0 (iPhone14,6; U; CPU iPhone OS 15_4 like Mac OS X)";1
